feature,importance_score
"methyl 2-[(2-acetyl-3-oxobut-1-enyl)amino]-3,4,5-trimethoxybenzoate",1.9195956352817718
2-(2-pyridyl)-2-{2-[4-(trifluoromethoxy)phenyl]hydrazono}acetonitrile,1.9183751278785333
"1,7-bis(4-hydroxyphenyl)heptan-3-one",1.9170537720428609
N-(4-piperidinophenyl)-2-thiophenecarboxamide,1.9166901166491246
Cer-NDS (d18:0/12:0),1.9139613769861414
Dihydroroseoside,1.9100818255610632
Flurazepam-d10,1.9100708684809404
"2,3,4-trichloro-1-naphthol",1.910002498276148
N1-isopropyl-2-(1H-2-pyrrolylcarbonyl)-1-hydrazinecarboxamide,1.909439046417734
L-Tyrosinemethylester,1.9084612840887119
D-Panthenol,1.9081200092433457
LPC 18:2,1.9072015204618322
Monoolein,1.9069999432098428
"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one",1.9028083423068674
(R)-Equol,1.9010499830052248
N1-(5-methylisoxazol-3-yl)-2-morpholinoacetamide,1.9004185991032634
Eugenol,1.9003452357682367
Physostigmine,1.9001517432786441
Testosterone glucuronide,1.8993958862526168
Ursodeoxycholic acid,1.8979187119022534
Lauric acid ethyl ester,1.8976112212214244
1-Stearoylglycerol,1.8975225362329822
8-Hydroxyguanosine,1.8974635328842522
Anandamide (AEA),1.897337470628314
Ergothioneine,1.8958193150924156
gamma-Nonanolactone,1.8951456712478598
"1,3-Dimethyluric Acid",1.8951180647374197
XLR11 N-(4-hydroxypentyl) metabolite-d5,1.8943380376400025
3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid,1.8942164335999445
N-Acetyl-L-tyrosine,1.8941469667685882
2-({1-[(2-nitrophenyl)sulfonyl]-1H-pyrrol-2-yl}methylene)malononitrile,1.892109682407475
4-((5-(4-Nitrophenyl)oxazol-2-yl)amino)benzonitrile,1.891447589470823
Taurochenodeoxycholic Acid (sodium salt),1.890887682255942
18-β-Glycyrrhetinic acid,1.8907572911529784
Lysopa 16:0,1.8903455131304638
Deoxyguanosine diphosphate (dGDP),1.8901459958509652
Xanthurenic acid,1.8896413492592807
Perillic acid,1.8893078811510702
Testosterone sulfate,1.8878328675707814
Allantoin,1.8873153996582286
Taurochenodeoxycholic acid,1.8871283579279052
7-Aminoclonazepam-d4,1.8866904506379223
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",1.8860337005087198
Prostaglandin G2,1.8855653371441465
WLH,1.8837935547164273
N-Methylisoleucine,1.8825765059808037
N'-hydroxy-4-methoxy-7-methylindane-5-carboximidamide,1.8817349372286802
Dinophysistoxin-2,1.8814784723670646
"6-methyl-2-oxo-4,6-diphenyl-1,2,5,6-tetrahydropyridine-3-carbonitrile",1.8811855695959956
2-deoxyglucose-6-phosphate,1.8807841272088954
"13,14-Dihydro-19(R)-hydroxy prostaglandin E1",1.880472301818354
3-[5-(Aminosulfonyl)benzoxazol-2-yl]-7-(diethylamino)coumarin,1.8803852365261253
"6,7-Dihydroxycoumarin",1.8803076442793059
FKK,1.8783186467876178
"3,5-dimethyl-4H-pyrazol-4-one 4-(3,5-dichlorophenyl)hydrazone",1.8779679901823805
KPH,1.8778956454932045
GMH,1.8773816268769208
Octanedioic acid,1.8770680981923331
N-Arachidonoyl-L-serine,1.8758467457663472
LPA 22:5,1.8753589425576929
Avocadyne 1-acetate,1.874749438775276
Norfloxacin,1.8745006973011695
"6-methylimidazo[2,1-b][1,3]thiazole-5-carbohydrazide",1.8738866018140314
N-allyl-2-(2-methyl-1-benzofuran-3-yl)acetamide,1.8732350918915404
Salvinorin A,1.872768102559336
Tris(2-carboxyethyl)phosphine,1.8726768714429518
Norfenfluramine,1.8724954932800453
Dodecanedioic acid,1.8724350964650776
Betulin,1.8722575660899907
JWH 250 N-pentanoic acid metabolite,1.871192829527113
Lipoxin B4,1.8705920584071456
Gibberellin A4,1.870464193141017
"Glucuronic acid-3,6-lactone",1.8701121192109729
"7-{[(2E)-3,7-dimethylocta-2,6-dien-1-yl]oxy}-2H-chromen-2-one",1.8696213914751239
"1,7-Bis(4-hydroxyphenyl)-3,5-heptanediol",1.8693042228715575
dihydrotachysterol,1.8691222891768442
N1-(4-chlorophenyl)-3-(1H-pyrrol-1-ylmethyl)piperidine-1-carboxamide,1.8661750474943473
"3-(4-nitrophenyl)[1,2,3]triazolo[1,5-a]quinazolin-5-amine",1.8649839937710966
"5-(4-chlorophenyl)-2-[(dimethylamino)methylene]cyclohexane-1,3-dione",1.8638977012590492
2-(2-chlorophenyl)-1H-indole,1.8637896655167148
"1,7-bis(4-hydroxyphenyl)-5-methoxyheptan-3-one",1.8634111180157258
"1-allyl-9,9,9a-trimethyl-9,9a-dihydro-1H-imidazo[1,2-a]indol-2(3H)-one",1.8630934363810092
Alanyltyrosine,1.8620317865353742
Monobutyl phthalate,1.8620179226232614
(3-Methoxy-4-hydroxyphenyl)ethylene glycol sulfate,1.8616907883216818
MMK,1.8600087303657866
Diflorasone,1.8594449406436713
