feature,mi_score,data_type,is_target
Hematoxylin,0.14772397639531665,Metabolome,False
"5-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]-2-methoxybenzene-1,3-diol",0.14685579718890196,Metabolome,False
FAHFA (4:0/20:0),0.14633479041789554,Metabolome,False
(+)-ar-Turmerone,0.1462832782046184,Metabolome,False
2-Methoxyestrone,0.14610904394214885,Metabolome,False
EMK,0.14591090874401358,Metabolome,False
2'-Deoxyinosine 5'-monophosphate,0.1458345880059282,Metabolome,False
P-Aminohippuric Acid,0.14581611464921984,Metabolome,False
Cer-NS (d16:1/12:0),0.145604681087941,Metabolome,False
Salvinorin B,0.1455931709262761,Metabolome,False
QKK,0.14523580606891118,Metabolome,False
PE (2:0/18:1),0.14497917381227898,Metabolome,False
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii,0.14453833687144146,Microbiome,False
DL-Serine,0.14434885968196465,Metabolome,False
Prostaglandin A1 ethyl ester,0.14400492583803093,Metabolome,False
L-(+)-Tartaric acid,0.14356936140246668,Metabolome,False
Lysops 22:6,0.14349071782382272,Metabolome,False
SKK,0.14296345097302665,Metabolome,False
"8,12-iso-iPF2α-VI",0.14261109950612405,Metabolome,False
Norfenfluramine,0.14189475822786313,Metabolome,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides salanitronis,0.1415806197519598,Microbiome,False
Epoxomicin,0.14100659083969602,Metabolome,False
4-Hydroxybenzaldehyde,0.14036301219611724,Metabolome,False
1-Methyladenosine,0.1395850124181175,Metabolome,False
Toltrazuril,0.13913357496667977,Metabolome,False
Tyrosylalanine,0.13886301219611696,Metabolome,False
N1-(5-methylisoxazol-3-yl)-2-tetrahydro-1H-pyrrol-1-ylacetamide,0.13880151813462294,Metabolome,False
1-[6-(benzyloxy)-3-(tert-butyl)-2-hydroxyphenyl]ethan-1-one,0.13848858313360757,Metabolome,False
Corchorifatty acid F,0.13816956675267167,Metabolome,False
