feature,data_type,is_target,univar_score,pvalue,fdr,rf_importance,gb_importance,mi_score,corr_score,univar_norm,rf_norm,gb_norm,mi_norm,corr_norm,final_score,target_bonus
"5-Henicosyl-1,3-benzenediol",Metabolome,False,4.2332494526536575,0.0002282408085254724,0.0444830657681495,0.0031218879835341862,2.1309329401943363e-06,0.1643570736901785,0.9738654091808597,0.6050222274545116,0.24132513692126364,2.6808484373822733e-05,0.5293732372806073,0.3627146022310375,0.35752075997873894,
1-(3-phenylpropanoyl)-4-piperidinecarboxylic acid,Metabolome,False,4.035186086921661,0.00016712382383315526,0.043912131262218025,0.002112712848526486,0.017497307121291012,0.12534669517980035,1.0460876759129016,0.5767146623631232,0.16331486591930247,0.2201271920374597,0.4037257680484098,0.38961366908666245,0.3573887857121822,
Coenzyme Q2,Metabolome,False,4.143430592242018,0.00019544923681397464,0.044087763561323705,0.003051485560910689,4.253234628011684e-05,0.15299627344362676,1.100900930446993,0.592185157721095,0.2358829575833713,0.0005350838213278281,0.492781544148176,0.4100287774043964,0.35165341283910295,
Phenethylamine,Metabolome,True,1.5587884233101237,0.009744273631270613,0.12259926744044859,4.753344232166874e-19,5.614723554710752e-08,0.10271312819638823,0.9211178951908899,0.22278354645095258,3.674383750191363e-17,7.063677408171762e-07,0.33082592652529846,0.34306887564994804,0.3507659817526235,0.2
N1-[2-oxo-6-(1H-pyrrol-1-yl)-2H-chromen-3-yl]acetamide,Metabolome,False,4.082116356158842,0.0004182913101936725,0.04640485320588271,0.0023537490171676068,0.003142053382762362,0.16406372814683312,1.1564123756736382,0.5834220191036195,0.18194720849760507,0.039529019156191614,0.5284284085827241,0.43070392572041316,0.3507538655461753,
"5-[(8Z,11Z)-pentadeca-8,11-dien-1-yl]benzene-1,3-diol",Metabolome,False,2.880254262694993,0.0008631558044386149,0.05678845896702387,0.007059524980289637,0.0007079469138155396,0.10138393777896226,0.9638059563658055,0.4116497717934538,0.5457085076251974,0.008906420009063767,0.32654477318983854,0.3589679752412327,0.3465818559487473,
FAHFA (2:0/26:0),Metabolome,False,3.7186850073631397,0.00036029568414558866,0.04640485320588271,0.003884372742121775,2.411205493861647e-06,0.10798255931566403,1.5575366366801178,0.5314797706001474,0.30026598929554343,3.033449039385087e-05,0.3477980941820222,0.5801020103064157,0.34469641055995376,
Theophylline,Metabolome,False,3.4546051641923063,0.0005218204192354766,0.04708311096987529,0.0036966261565498765,2.612771986766055e-06,0.13494118608621042,1.4864570663063033,0.4937370142743905,0.28575298603962695,3.2870324381578925e-05,0.43462840337252096,0.5536285388679173,0.34012303924977005,
Heptadecanoic Acid,Metabolome,False,3.3936840637877306,0.00018076558151008053,0.043912131262218025,0.003754221553763873,9.372978799121496e-06,0.16465546973857492,1.0235823486065863,0.485030063300554,0.2902051692031521,0.00011791800245459842,0.5303343330131166,0.3812315961995521,0.3357572044633678,
FAHFA (4:0/20:0),Metabolome,False,2.889855797529934,0.0011416092092577943,0.0591016702104281,0.00436441757960453,7.903743752624864e-06,0.14633479041789554,1.4917899068752551,0.4130220400638269,0.3373739466421505,9.943409616053851e-05,0.4713257542923124,0.5556147467437632,0.33453032331714094,
3-(4-acetylanilino)-1-(4-fluorophenyl)prop-2-en-1-one,Metabolome,False,3.493631227243334,0.0004504547466042986,0.04640485320588271,0.003446298124209487,0.0,0.15704532987843467,0.9840530989364666,0.4993146879446059,0.26640237288553603,0.0,0.5058230401099906,0.3665089908626928,0.32891935470753364,
Bisphenol A,Metabolome,False,3.5938952724442923,0.0006036128747610752,0.04887716560244809,0.003246811657988609,0.0,0.15961214378348387,0.9243027507575322,0.5136446018858468,0.25098186483764845,0.0,0.5140904213422349,0.3442550699732372,0.32837791697382507,
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus harei,Microbiome,False,3.6605303008095214,0.0005613307089105505,0.04791033456052752,0.0029510906804933543,2.969915145375477e-05,0.11003205720339748,1.591888405897335,0.5231681975081064,0.22812233055553038,0.00037363411238608413,0.354399266296308,0.5928962713922835,0.3265052857974663,
Prostaglandin F1α,Metabolome,False,2.850307110277209,0.000993386087998856,0.0591016702104281,0.005276789373555574,0.0,0.12589667916554248,1.106795698425272,0.4073696720221754,0.4079012202854149,0.0,0.40549719653912164,0.4122242742382804,0.32623321358270263,
"2-(5-methyl-2-phenyl-1,3-oxazol-4-yl)acetic acid",Metabolome,False,3.0858592212578673,0.0027215738370605226,0.07813391070397391,0.0030794129352186878,7.109295067109664e-05,0.20707513340823835,0.9096644669967938,0.44103519461569435,0.23804177220589326,0.0008943942914417717,0.6669626762719818,0.3388030647766595,0.32592458821293313,
Sildenafil-d3,Metabolome,False,3.3515453269628805,0.000993386087998856,0.0591016702104281,0.001543568141366192,7.223743588885966e-11,0.18889594537920518,1.610040435312198,0.4790075208120435,0.11931939743744416,9.087926394600218e-10,0.6084098230117497,0.5996569654952152,0.3247592757860166,
WKK,Metabolome,False,3.75207389527133,0.0004504547466042986,0.04640485320588271,0.0037355723018054985,0.0,0.08707851891162366,1.3114732887178582,0.5362517692698514,0.2887635629360243,0.0,0.28046883787151183,0.48845611289761554,0.3239823584854498,
Diosgenin,Metabolome,False,2.7713000645199153,0.0014026128334634208,0.06156757131786872,0.004367750437891656,3.680275100978606e-10,0.16841687706190145,1.0368438437800926,0.39607784588266026,0.3376315799995041,4.630018883980273e-09,0.5424493477598128,0.38617081870555847,0.3232157337252056,
Verrucarol,Metabolome,False,2.5354262416753452,0.0022392233047384964,0.07366111662879346,0.0034115831746618632,0.001970429491773118,0.20641446487140858,1.1577956967927492,0.3623663436629005,0.26371887174873004,0.024789249461365806,0.6648347469151333,0.4312191414419554,0.32244459710979134,
FAHFA (6:0/24:4),Metabolome,False,3.9839350837673577,0.00030988836190604465,0.0444830657681495,0.001838998492101644,2.986379528129066e-06,0.1313233080921714,1.3576051757485625,0.5693897787208222,0.1421564659735226,3.757054358869259e-05,0.42297567834651467,0.5056378598790422,0.32037370195822645,
ACar 16:5,Metabolome,False,0.9110696350062715,0.0023905312442067785,0.0740127222471079,0.007033540242284889,0.005502311633695502,0.1890025052235429,0.9480972470885836,0.13021043636033403,0.5436998607775421,0.06922256100578014,0.608753038721878,0.35311729178606915,0.3154572932905304,
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|s__Peptostreptococcaceae bacterium oral taxon 929,Microbiome,False,2.7494852038102446,0.0020967378639557537,0.07044146994013054,0.0023689525461338934,8.826824513421664e-06,0.20170356053666527,1.3300799877819487,0.3929600275662021,0.18312245685014908,0.00011104703605405793,0.6496615230178565,0.4953861479786858,0.3106786751401558,
Caffeine,Metabolome,False,2.484536099917722,0.001501172574881536,0.06156757131786872,0.003384341973518419,3.114282864456919e-05,0.17679727238037724,1.4049428361747849,0.3550930349670199,0.26161309901424545,0.00039179648468826606,0.569441535560598,0.5232686952184833,0.309752644396543,
"5-(benzyloxy)-2-(hydroxymethyl)-1,4-dihydropyridin-4-one",Metabolome,False,3.0242088523295303,0.0009261522028535956,0.0591016702104281,0.004168574707668951,3.722054175917733e-05,0.10492901318858872,1.0210211190473453,0.4322240152999372,0.3222350921623675,0.00046825796031156304,0.33796301034789017,0.38027767037772436,0.29904184781259135,
