,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
DL-2-(acetylamino)-3-phenylpropanoic acid,-0.018851364883285922,0.00894673437739564,0.0035323486841194063,0.01672316886866868,-0.02370138633774444,-0.022845021862015685,-0.015977862128949763,-0.023318846717838817,0.003495505289192255,-0.0028735356529333792
Maltitol,-0.0019208148311650036,0.012180324959724346,-0.013152065416756294,0.014623377476520103,0.015187711097425149,0.006938403246271044,-0.004171139100766977,0.006419050163869777,-0.013538531798231676,-0.005707251115147466
Cytosine,-0.006544094940598951,0.031224793589754916,-0.01821713701958919,0.0012187996073891986,-0.01349379990989812,0.000984691654559627,-0.0052831182896545675,0.0070785048817895,-0.016633210756317258,0.02499889673670728
trans-4-Hydroxy-L-proline,-0.004858970127897219,0.024098941524278043,0.0195510156154926,-0.020048094360270927,-0.021316079974006738,-0.012776166787765154,0.015979263950447097,0.0046756424558644484,0.017734597461296856,-0.03751419850253243
5-Hydroxylysine,-0.013053995229199948,0.014020366578501194,0.03187132432548465,-0.01305778869256592,0.025410991190711482,-0.006829551456371021,0.008023907827720809,-0.005270597117607135,0.02261208111653983,-0.017392085241929155
DL-Glutamine,0.016489102595595467,0.01349275105323869,-0.01285436490629491,0.0034042049881733006,0.0248819756353444,-0.02356523947245148,0.04315791558193734,0.006500887906583736,-0.0160978002235473,0.017729490119724595
L-Threonine,0.009827804956247565,0.0061322015874432844,-0.02077156444605649,0.016809312842396004,0.029627378434962513,-0.017668723684594347,0.032454739912490614,-0.010969008630907343,-0.01663284195820848,0.016938685549448537
L-(+)-Citrulline,0.008710558787225407,0.0018281134613699034,-0.006244089421907943,0.01106672913156044,0.021147969664021823,-0.019900492497588754,0.04715686377955752,0.028020206251395247,0.006453225683036997,0.019273796745355277
6-Methylnicotinamide,-0.02321600731847079,0.007726160243820762,0.033698825125872155,0.033937156991559275,-0.031441155038568674,-0.0008033900573494737,-0.037867322273095985,-0.009611560379508279,0.027726729869233597,0.028285174628454472
α-Methylhistamine,-0.0025059857399516708,0.012699204291199709,0.02257096076386957,0.007629341463617768,-0.016151247684074267,0.008239812834734465,0.01053106950565977,-0.03272163802766218,0.054072958804597906,0.02085361245128612
Acetophenone,0.002822917975811623,-0.0137489837524047,0.0007570211028123517,-0.0001396832971031068,-0.021885997204262573,-0.003928333755933721,0.0023956466149991024,-0.026358298100982756,-0.0185880531986232,-0.005390101381958179
Apigenin,-0.020200256941778447,0.034579972949147164,0.006402055630050276,0.002813278524346148,0.011252552436027633,-0.019161306684357945,0.027732773497933398,-0.008651328798726772,0.0250674511452157,-0.040609320225494065
